"Category ID","Category Name","Category URL"
12354,BSM PANDEMIC Seminars,https://indico.cern.ch/category/12354/
9007,Position Sensitive Detectors,https://indico.cern.ch/category/9007/
10350,2018 meeting,https://indico.cern.ch/category/10350/
10603,Physik-Institut,https://indico.cern.ch/category/10603/
15975,ILO,https://indico.cern.ch/category/15975/
10351,Schools,https://indico.cern.ch/category/10351/
10685,DEIS,https://indico.cern.ch/category/10685/
10355,ETP DNN Seminar,https://indico.cern.ch/category/10355/
9174,University of Sofia,https://indico.cern.ch/category/9174/
10338,Schools,https://indico.cern.ch/category/10338/
10353,Università di Genova,https://indico.cern.ch/category/10353/
18074,MasterClasses,https://indico.cern.ch/category/18074/
8379,United States of America,https://indico.cern.ch/category/8379/
15974,Denmark,https://indico.cern.ch/category/15974/
14541,Cyprus,https://indico.cern.ch/category/14541/
14542,University of Cyprus,https://indico.cern.ch/category/14542/
14543,Physics,https://indico.cern.ch/category/14543/
18073,Outreach,https://indico.cern.ch/category/18073/
8386,International Collaborations,https://indico.cern.ch/category/8386/
5483,IEEE,https://indico.cern.ch/category/5483/
6467,Societies,https://indico.cern.ch/category/6467/
8388,Italy,https://indico.cern.ch/category/8388/
6004,INFN,https://indico.cern.ch/category/6004/
7807,Italian ILO meetings,https://indico.cern.ch/category/7807/
8415,Milano - Bicocca,https://indico.cern.ch/category/8415/
8398,Switzerland,https://indico.cern.ch/category/8398/
10602,University of Zurich,https://indico.cern.ch/category/10602/
15974,Denmark,https://indico.cern.ch/category/15974/
15975,ILO,https://indico.cern.ch/category/15975/
8388,Italy,https://indico.cern.ch/category/8388/
10351,Schools,https://indico.cern.ch/category/10351/
5483,IEEE,https://indico.cern.ch/category/5483/
6467,Societies,https://indico.cern.ch/category/6467/
10685,DEIS,https://indico.cern.ch/category/10685/
8388,Italy,https://indico.cern.ch/category/8388/
6004,INFN,https://indico.cern.ch/category/6004/
7807,Italian ILO meetings,https://indico.cern.ch/category/7807/
8415,Milano - Bicocca,https://indico.cern.ch/category/8415/
10351,Schools,https://indico.cern.ch/category/10351/
8398,Switzerland,https://indico.cern.ch/category/8398/
10602,University of Zurich,https://indico.cern.ch/category/10602/
10603,Physik-Institut,https://indico.cern.ch/category/10603/
15974,Denmark,https://indico.cern.ch/category/15974/
15975,ILO,https://indico.cern.ch/category/15975/
15974,Denmark,https://indico.cern.ch/category/15974/
15975,ILO,https://indico.cern.ch/category/15975/
8388,Italy,https://indico.cern.ch/category/8388/
10351,Schools,https://indico.cern.ch/category/10351/
15974,Denmark,https://indico.cern.ch/category/15974/
15975,ILO,https://indico.cern.ch/category/15975/
5483,IEEE,https://indico.cern.ch/category/5483/
6467,Societies,https://indico.cern.ch/category/6467/
10685,DEIS,https://indico.cern.ch/category/10685/
5483,IEEE,https://indico.cern.ch/category/5483/
6467,Societies,https://indico.cern.ch/category/6467/
10685,DEIS,https://indico.cern.ch/category/10685/
8385,Germany,https://indico.cern.ch/category/8385/
6639,KIT-Karlsruhe,https://indico.cern.ch/category/6639/
10355,ETP DNN Seminar,https://indico.cern.ch/category/10355/
8385,Germany,https://indico.cern.ch/category/8385/
6639,KIT-Karlsruhe,https://indico.cern.ch/category/6639/
10355,ETP DNN Seminar,https://indico.cern.ch/category/10355/
9173,Bulgaria,https://indico.cern.ch/category/9173/
9174,University of Sofia,https://indico.cern.ch/category/9174/
9173,Bulgaria,https://indico.cern.ch/category/9173/
9174,University of Sofia,https://indico.cern.ch/category/9174/
10336,Czechia,https://indico.cern.ch/category/10336/
10337,CEICO, Institute of Physics,https://indico.cern.ch/category/10337/
10338,Schools,https://indico.cern.ch/category/10338/
10336,Czechia,https://indico.cern.ch/category/10336/
10337,CEICO, Institute of Physics,https://indico.cern.ch/category/10337/
10338,Schools,https://indico.cern.ch/category/10338/
8388,Italy,https://indico.cern.ch/category/8388/
10353,Università di Genova,https://indico.cern.ch/category/10353/
8388,Italy,https://indico.cern.ch/category/8388/
10353,Università di Genova,https://indico.cern.ch/category/10353/
14541,Cyprus,https://indico.cern.ch/category/14541/
14542,University of Cyprus,https://indico.cern.ch/category/14542/
14543,Physics,https://indico.cern.ch/category/14543/
18073,Outreach,https://indico.cern.ch/category/18073/
18074,MasterClasses,https://indico.cern.ch/category/18074/
18073,Outreach,https://indico.cern.ch/category/18073/
18074,MasterClasses,https://indico.cern.ch/category/18074/
8379,United States of America,https://indico.cern.ch/category/8379/
8379,United States of America,https://indico.cern.ch/category/8379/
15974,Denmark,https://indico.cern.ch/category/15974/
15975,ILO,https://indico.cern.ch/category/15975/
15974,Denmark,https://indico.cern.ch/category/15974/
15975,ILO,https://indico.cern.ch/category/15975/
8385,Germany,https://indico.cern.ch/category/8385/
Category ID,Category Name,Category URL
10355,ETP DNN Seminar,https://indico.cern.ch/category/10355/
9174,University of Sofia,https://indico.cern.ch/category/9174/
10338,Schools,https://indico.cern.ch/category/10338/
10353,Università di Genova,https://indico.cern.ch/category/10353/
18074,MasterClasses,https://indico.cern.ch/category/18074/
10771,United States of America,https://indico.cern.ch/category/8379/
15974,Denmark,https://indico.cern.ch/category/15974/
14541,Cyprus,https://indico.cern.ch/category/14541/
14542,University of Cyprus,https://indico.cern.ch/category/14542/
14543,Physics,https://indico.cern.ch/category/14543/
18073,Outreach,https://indico.cern.ch/category/18073/
8386,International Collaborations,https://indico.cern.ch/category/8386/
5483,IEEE,https://indico.cern.ch/category/5483/
6467,Societies,https://indico.cern.ch/category/6467/
8388,Italy,https://indico.cern.ch/category/8388/
6004,INFN,https://indico.cern.ch/category/6004/
7807,Italian ILO meetings,https://indico.cern.ch/category/7807/
8415,Milano - Bicocca,https://indico.cern.ch/category/8415/
8398,Switzerland,https://indico.cern.ch/category/8398/
10602,University of Zurich,https://indico.cern.ch/category/10602/
10351,Schools,https://indico.cern.ch/category/10351/
10603,Physik-Institut,https://indico.cern.ch/category/10603/
15974,Denmark,https://indico.cern.ch/category/15974/
15975,ILO,https://indico.cern.ch/category/15975/
8388,Italy,https://indico.cern.ch/category/8388/
10351,Schools,https://indico.cern.ch/category/10351/
5483,IEEE,https://indico.cern.ch/category/5483/
6467,Societies,https://indico.cern.ch/category/6467/
10685,DEIS,https://indico.cern.ch/category/10685/
5483,IEEE,https://indico.cern.ch/category/5483/
6467,Societies,https://indico.cern.ch/category/6467/
10685,DEIS,https://indico.cern.ch/category/10685/
8385,Germany,https://indico.cern.ch/category/8385/
6639,KIT-Karlsruhe,https://indico.cern.ch/category/6639/
10355,ETP DNN Seminar,https://indico.cern.ch/category/10355/
8385,Germany,https://indico.cern.ch/category/8385/
6639,KIT-Karlsruhe,https://indico.cern.ch/category/6639/
10355,ETP DNN Seminar,https://indico.cern.ch/category/10355/
9173,Bulgaria,https://indico.cern.ch/category/9173/
9174,University of Sofia,https://indico.cern.ch/category/9174/
9173,Bulgaria,https://indico.cern.ch/category/9173/
9174,University of Sofia,https://indico.cern.ch/category/9174/
10336,Czechia,https://indico.cern.ch/category/10336/
10337,CEICO, Institute of Physics,https://indico.cern.ch/category/10337/
10338,Schools,https://indico.cern.ch/category/10338/
10336,Czechia,https://indico.cern.ch/category/10336/
10337,CEICO, Institute of Physics,https://indico.cern.ch/category/10337/
10338,Schools,https://indico.cern.ch/category/10338/
8388,Italy,https://indico.cern.ch/category/8388/
10353,Università di Genova,https://indico.cern.ch/category/10353/
8388,Italy,https://indico.cern.ch/category/8388/
10353,Università di Genova,https://indico.cern.ch/category/10353/
14541,Cyprus,https://indico.cern.ch/category/14541/
14542,University of Cyprus,https://indico.cern.ch/category/14542/
14543,Physics,https://indico.cern.ch/category/14543/
18073,Outreach,https://indico.cern.ch/category/18073/
18074,MasterClasses,https://indico.cern.ch/category/18074/
18073,Outreach,https://indico.cern.ch/category/18073/
18074,MasterClasses,https://indico.cern.ch/category/18074/
8379,United States of America,https://indico.cern.ch/category/8379/
8379,United States of America,https://indico.cern.ch/category/8379/
15974,Denmark,https://indico.cern.ch/category/15974/
15975,ILO,https://indico.cern.ch/category/15975/
15974,Denmark,https://indico.cern.ch/category/15974/
15975,ILO,https://indico.cern.ch/category/15975/
8385,Germany,https://indico.cern.ch/category/8385/
Category ID,Category Name,Category URL
6639,KIT-Karlsruhe,https://indico.cern.ch/category/6639/
10355,ETP DNN Seminar,https://indico.cern.ch/category/10355/
9173,Bulgaria,https://indico.cern.ch/category/9173/
9174,University of Sofia,https://indico.cern.ch/category/9174/
10336,Czechia,https://indico.cern.ch/category/10336/
10337,CEICO, Institute of Physics,https://indico.cern.ch/category/10337/
10338,Schools,https://indico.cern.ch/category/10338/
8388,Italy,https://indico.cern.ch/category/8388/
10353,Università di Genova,https://indico.cern.ch/category/10353/
14541,Cyprus,https://indico.cern.ch/category/14541/
14542,University of Cyprus,https://indico.cern.ch/category/14542/
14543,Physics,https://indico.cern.ch/category/14543/
18073,Outreach,https://indico.cern.ch/category/18073/
18074,MasterClasses,https://indico.cern.ch/category/18074/
8379,United States of America,https://indico.cern.ch/category/8379/
15974,Denmark,https://indico.cern.ch/category/15974/
15975,ILO,https://indico.cern.ch/category/15975/
8385,Germany,https://indico.cern.ch/category/8385/
6639,KIT-Karlsruhe,https://indico.cern.ch/category/6639/
10355,ETP DNN Seminar,https://indico.cern.ch/category/10355/
8385,Germany,https://indico.cern.ch/category/8385/
6639,KIT-Karlsruhe,https://indico.cern.ch/category/6639/
10355,ETP DNN Seminar,https://indico.cern.ch/category/10355/
9173,Bulgaria,https://indico.cern.ch/category/9173/
9174,University of Sofia,https://indico.cern.ch/category/9174/
10336,Czechia,https://indico.cern.ch/category/10336/
10337,CEICO, Institute of Physics,https://indico.cern.ch/category/10337/
10338,Schools,https://indico.cern.ch/category/10338/
8388,Italy,https://indico.cern.ch/category/8388/
10353,Università di Genova,https://indico.cern.ch/category/10353/
14541,Cyprus,https://indico.cern.ch/category/14541/
14542,University of Cyprus,https://indico.cern.ch/category/14542/
14543,Physics,https://indico.cern.ch/category/14543/
18073,Outreach,https://indico.cern.ch/category/18073/
18074,MasterClasses,https://indico.cern.ch/category/18074/
8379,United States of America,https://indico.cern.ch/category/8379/
15974,Denmark,https://indico.cern.ch/category/15974/
15975,ILO,https://indico.cern.ch/category/15975/
8385,Germany,https://indico.cern.ch/category/8385/
6639,KIT-Karlsruhe,https://indico.cern.ch/category/6639/
10355,ETP DNN Seminar,https://indico.cern.ch/category/10355/
9173,Bulgaria,https://indico.cern.ch/category/9173/
9174,University of Sofia,https://indico.cern.ch/category/9174/
10336,Czechia,https://indico.cern.ch/category/10336/
10337,CEICO, Institute of Physics,https://indico.cern.ch/category/10337/
10338,Schools,https://indico.cern.ch/category/10338/
8388,Italy,https://indico.cern.ch/category/8388/
10353,Università di Genova,https://indico.cern.ch/category/10353/
14541,Cyprus,https://indico.cern.ch/category/14541/
14542,University of Cyprus,https://indico.cern.ch/category/14542/
14543,Physics,https://indico.cern.ch/category/14543/
18073,Outreach,https://indico.cern.ch/category/18073/
18074,MasterClasses,https://indico.cern.ch/category/18074/
8379,United States of America,https://indico.cern.ch/category/8379/
15974,Denmark,https://indico.cern.ch/category/15974/
15975,ILO,https://indico.cern.ch/category/15975/
8385,Germany,https://indico.cern.ch/category/8385/
6639,KIT-Karlsruhe,https://indico.cern.ch/category/6639/
10355,ETP DNN Seminar,https://indico.cern.ch/category/10355/
9173,Bulgaria,https://indico.cern.ch/category/9173/
9174,University of Sofia,https://indico.cern.ch/category/9174/
10336,Czechia,https://indico.cern.ch/category/10336/
10337,CEICO, Institute of Physics,https://indico.cern.ch/category/10337/
